"id";"price";"accommodation_type";"latitude";"longitude";"precio_euro"
957402;111;"Entire place";41.37104;2.15004;101.5428
1154761;176;"Private room";41.38475;2.16058;161.0048
1029587;139;"Entire place";41.40735;2.2047;127.1572
1161417;105;"Entire place";41.40306;2.16368;96.054
1260018;130;"Entire place";41.37427;2.13015;118.924
1034761;177;"Entire place";41.39481;2.20087;161.9196
1261435;50;"Private room";41.40305;2.14299;45.74
1266069;110;"Entire place";41.40521;2.2082;100.628
1266363;251;"Entire place";41.397504220941;2.16954319670894;229.6148
1164746;21;"Private room";41.40186;2.14937;19.2108
1165432;327;"Entire place";41.39797;2.16273;299.1396
1266491;174;"Entire place";41.3964;2.16845;159.1752
1034771;236;"Entire place";41.3822;2.16865;215.8928
1169088;198;"Entire place";41.37564;2.15454;181.1304
1169142;253;"Entire place";41.39523;2.16921;231.4444
1169191;478;"Entire place";41.40379;2.17305;437.2744
1269238;143;"Entire place";41.40527;2.15837;130.8164
1039162;220;"Entire place";41.40547;2.16146;201.256
1186442;274;"Entire place";41.377499;2.16181;250.6552
1186506;220;"Entire place";41.377499;2.16181;201.256
1039211;119;"Entire place";41.40504;2.20344;108.8612
1186521;190;"Entire place";41.377499;2.16181;173.812
1186539;207;"Entire place";41.377499;2.16181;189.3636
1186559;179;"Entire place";41.377499;2.16181;163.7492
1190491;150;"Entire place";41.40089;2.16752;137.22
1272804;120;"Entire place";41.3977068;2.1814678;109.776
1276036;NA;"Entire place";41.40146;2.16046;NA
1041060;171;"Entire place";41.39864;2.16183;156.4308
1282669;165;"Entire place";41.40605;2.17743;150.942
1193162;316;"Entire place";41.38695;2.15949;289.0768
1044121;228;"Entire place";41.37565;2.15801;208.5744
1044130;210;"Entire place";41.40111;2.13598;192.108
1193842;180;"Entire place";41.37071;2.1597;164.664
1197169;NA;"Entire place";41.40631;2.14085;NA
1197458;25;"Private room";41.40214;2.19807;22.87
1284165;51;"Private room";41.40739;2.15211;46.6548
1290278;147;"Entire place";41.37983;2.15282;134.4756
1047089;109;"Entire place";41.4024;2.15673;99.7132
1291971;130;"Entire place";41.40971;2.17392;118.924
1293412;168;"Entire place";41.39669;2.20285;153.6864
1294410;136;"Entire place";41.39137;2.19628;124.4128
1198074;326;"Entire place";41.39196;2.17377;298.2248
1199380;197;"Entire place";41.3915;2.16193;180.2156
1199382;211;"Entire place";41.39498;2.1704;193.0228
1060614;158;"Entire place";41.39673;2.18323;144.5384
1199594;158;"Entire place";41.38549;2.17273;144.5384
1201871;99;"Entire place";41.39835;2.14644;90.5652
1202829;95;"Entire place";41.406055;2.199163;86.906
1295958;226;"Entire place";41.39876;2.1856;206.7448
1296121;120;"Entire place";41.40574;2.14734;109.776
1061343;141;"Entire place";41.39582;2.12866;128.9868
1206052;150;"Entire place";41.40927;2.17599;137.22
1064956;121;"Entire place";41.39211;2.13012;110.6908
1206820;29;"Private room";41.38789;2.12936;26.5292
1207330;248;"Entire place";41.3941;2.14707;226.8704
1207407;251;"Entire place";41.3966208563609;2.16958940287965;229.6148
1305640;131;"Entire place";41.40292;2.21296;119.8388
1310443;156;"Entire place";41.40874;2.18644;142.7088
1067338;231;"Entire place";41.37627;2.15427;211.3188
1312051;30;"Entire place";41.40984;2.1574;27.444
1207452;364;"Entire place";41.3940991;2.1470664;332.9872
1207471;95;"Entire place";41.37762;2.12321;86.906
1068523;248;"Entire place";41.39095;2.17448;226.8704
1211274;393;"Entire place";41.393921;2.164423;359.5164
1211499;199;"Entire place";41.37998;2.16062;182.0452
1213201;384;"Entire place";41.38946;2.1764;351.2832
1314537;30;"Private room";41.37937;2.15386;27.444
1314672;174;"Entire place";41.40738;2.15978;159.1752
1320149;149;"Entire place";41.40134;2.16109;136.3052
1068919;160;"Entire place";41.39764;2.16064;146.368
1327003;70;"Entire place";41.3739;2.16347;64.036
1215049;126;"Entire place";41.40907;2.17311;115.2648
