floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_True,topNewDevelopment_True,exterior_True
0.2,0.21428571428571427,0.21385767790262172,0.125,0.25,413968126,21370698,1,1,0,0,1,0,0,0,0,0,0,1
0.0,0.054285714285714284,0.10112359550561797,0.15,0.125,415722849,24810223,0,0,0,0,0,0,0,0,1,0,0,0
0.12,0.06768571428571428,0.031835205992509365,0.05,0.125,413801842,21787149,1,0,0,0,1,0,0,0,0,0,0,0
0.04,0.05285714285714286,0.040074906367041196,0.1,0.0625,413823918,21282792,1,1,0,0,1,0,0,0,0,0,0,1
0.08,0.027257142857142858,0.03220973782771536,0.075,0.125,415405013,21197169,1,0,0,0,1,0,0,0,0,0,0,0
0.12,0.21428571428571427,0.12172284644194757,0.1,0.25,413941108,21351154,1,1,0,0,0,1,0,0,0,0,0,1
0.16,0.07571428571428572,0.0449438202247191,0.1,0.125,414061517,22134831,1,0,0,0,1,0,0,0,0,0,0,1
0.08,0.027257142857142858,0.03220973782771536,0.075,0.125,415391324,21175968,1,0,0,0,1,0,0,0,0,0,0,1
0.16,0.054285714285714284,0.035580524344569285,0.075,0.0625,414025054,21757783,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.045714285714285714,0.0149812734082397,0.05,0.0625,413779021,21896515,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.04857142857142857,0.028089887640449437,0.05,0.0625,413803778,21703121,0,0,0,0,1,0,0,0,0,0,0,1
